iteration,level,test_mean_reward,test_mean_episode_length,test_success_rate
40000,0,-1.6201477054447735,227.0,0.0
80000,0,-1.6201477054447735,227.0,0.0
160000,0,-1.3915814382682399,268.0,0.0
200000,0,-3.980472039958405,231.0,0.0
269376,1,-4.060226418110074,249.0,0.0
309376,1,-1.0673005832357376,246.0,0.0
384064,2,-6.179130237431427,618.0,0.0
424064,2,-0.13626568687924812,525.0,0.0
504064,2,-0.00869995999892198,312.0,0.0
544064,2,-1.6682735911875892,534.0,0.0
624064,2,-0.6622604949822339,711.0,0.0
664064,2,9.860292524648605,857.0,1.0
744064,2,-1.4036909317837147,807.0,0.0
784064,2,10.941879122984123,592.0,1.0
