iteration,mean_reward,level
40000,-6.293669060000001,0
80000,-2.4907746399999997,0
160000,-2.4907746399999997,0
200000,-2.4907746399999997,0
280000,-0.68711488,0
320000,3.85496638,0
400000,3.85496638,0
440000,3.85496638,0
480000,3.85496638,0
560000,3.85496638,0
600000,3.85496638,0
680000,3.85496638,1
720000,3.85496638,1
800000,3.85496638,1
840000,3.85496638,1
880000,3.85496638,1
960000,3.85496638,2
1000000,3.85496638,2
1080000,3.85496638,2
1120000,3.85496638,2
1200000,3.85496638,2
1240000,3.85496638,3
1280000,3.85496638,3
1360000,3.85496638,3
1400000,3.85496638,3
1480000,3.85496638,3
1520000,3.85496638,4
1600000,3.85496638,4
1640000,3.85496638,4
1720000,3.85496638,4
1760000,3.85496638,4
1800000,3.85496638,5
1880000,3.85496638,5
1920000,3.85496638,5
2000000,3.85496638,5
2040000,3.85496638,5
2120000,3.85496638,6
2160000,3.85496638,6
2200000,3.85496638,6
2280000,3.85496638,6
2320000,3.85496638,6
2400000,6.98690242,6
2440000,8.23592164,6
2520000,8.23592164,6
2560000,8.23592164,6
2600000,8.23592164,6
2680000,8.23592164,6
2720000,8.23592164,6
2800000,8.23592164,6
2840000,8.23592164,6
2920000,8.23592164,6
2960000,9.64243196,6
3000000,9.64243196,6
3080000,9.64243196,6
3120000,9.64243196,6
3200000,9.64243196,6
3240000,9.64243196,6
3320000,9.64243196,6
3360000,9.64243196,6
3440000,9.64243196,6
3480000,9.64243196,6
3520000,9.64243196,6
3600000,9.64243196,6
3640000,9.64243196,6
3720000,9.64243196,6
3760000,9.64243196,6
3840000,9.64243196,6
3880000,9.64243196,6
3920000,9.64243196,6
4000000,9.64243196,6
4040000,9.64243196,6
4120000,9.64243196,6
