iteration,level,test_mean_reward,test_mean_episode_length,test_success_rate
40000,0,-6.541389853907072,364.62,0.0
100000,0,-6.776160389305165,364.68,0.0
160000,0,-6.853865557241056,364.64,0.0
220000,0,-6.43776555279509,364.94,0.0
280000,0,-3.5153427443168295,560.62,0.0
326720,1,-4.929729290912262,722.14,0.0
386720,1,-3.8344855946083207,693.66,0.02
446720,1,-4.848975569834404,711.74,0.0
506720,1,-4.333769928630273,732.16,0.02
566720,1,-4.937654737522681,731.18,0.0
626720,1,5.035444091310616,1236.72,0.6
670784,2,2.080007015758228,1682.8,0.68
730784,2,-11.592885368420694,1592.42,0.0
790784,2,-12.343352115553479,1719.16,0.0
850784,2,-2.015307095818604,1770.22,0.54
910784,2,-0.14474293112224332,1751.14,0.64
970784,2,-1.3364821139114904,1734.78,0.58
1030784,2,-2.675852116910707,1661.6,0.5
1070784,2,-3.0366413215062784,1778.24,0.52
1130784,2,-0.0972156343593506,1659.44,0.62
1190784,2,0.4514179197963621,1703.76,0.66
1250784,2,-3.533506863566373,1747.7,0.48
1310784,2,-0.6689943438097654,1768.26,0.62
1370784,2,-0.9323176857955323,1736.02,0.6
1430784,2,-1.0074503945711546,1672.54,0.58
1490784,2,-1.1197097030370073,1664.0,0.56
1530784,2,-0.22942150792539512,1762.52,0.64
1590784,2,-1.070232783174587,1677.92,0.58
1650784,2,-3.798991687546715,1721.28,0.46
1710784,2,-1.6220267126166732,1707.12,0.56
1770784,2,-1.4254874627098433,1756.54,0.58
1830784,2,0.9605850401915492,1720.74,0.68
1890784,2,-1.026139376575393,1680.26,0.58
1930784,2,-0.13787587713496882,1685.2,0.62
1990784,2,-2.995964044957081,1792.6,0.52
2050784,2,3.703455797221372,1708.5,0.8
2110784,2,3.2849665121165414,1751.28,0.8
2170784,2,5.196077147068528,1731.04,0.88
2219072,3,4.166749546844856,1795.98,0.74
2279072,3,4.0039665325856015,1788.68,0.72
2339072,3,3.348202295773246,1790.02,0.68
2399072,3,4.233694854874562,1793.04,0.74
2459072,3,5.18320555024316,1819.96,0.82
2519072,3,4.984727331136953,1808.94,0.8
2579072,3,5.287342018198599,1802.32,0.82
2620480,4,-11.0733877093046,1992.94,0.2
2680480,4,-2.6489567374975116,1576.0,0.34
2740480,4,-1.2861223572250895,1588.0,0.42
2800480,4,-1.7638282563976917,1597.36,0.38
2860480,4,-1.4879089175450195,1582.26,0.4
2920480,4,-2.0792607834554064,1565.26,0.38
2980480,4,0.2749682916490961,1585.1,0.5
3020480,4,-0.39977160265829353,1576.98,0.46
3080480,4,-0.7806822694975628,1572.26,0.44
3140480,4,-2.4834608824230706,1592.18,0.36
3200480,4,-0.39553267476296283,1611.02,0.48
3260480,4,-1.60817115068745,1592.76,0.4
3320480,4,-2.815901877583044,1577.32,0.34
3380480,4,-2.16817614371196,1620.64,0.38
3440480,4,-2.521890638986938,1606.14,0.36
3480480,4,-1.2526638825738692,1595.68,0.42
3540480,4,-1.9000530905247857,1584.76,0.4
3600480,4,-1.208203601827439,1589.32,0.42
3660480,4,-2.54014613045842,1546.56,0.36
3720480,4,-1.2324189312166747,1567.54,0.42
3780480,4,-2.735825329736352,1566.24,0.32
3840480,4,-2.3119407678808668,1585.74,0.36
3880480,4,-1.735756745030298,1548.04,0.36
3940480,4,-2.4578061082632146,1562.86,0.34
4000480,4,-1.7173059703522997,1578.06,0.36
4060480,4,-1.7139406414288831,1574.78,0.38
4120480,4,-0.922865107263637,1601.6,0.46
4180480,4,-2.8774158608082248,1602.14,0.32
4240480,4,-1.3802433544014052,1547.8,0.4
4300480,4,0.12837500489890893,1505.12,0.48
4340480,4,-0.5451043700135569,1494.02,0.42
4400480,4,-1.1848760662814775,1496.66,0.4
4460480,4,-0.38413206066160055,1502.48,0.44
4520480,4,-0.9727229185808512,1488.62,0.4
4580480,4,-0.9290120832457777,1491.3,0.42
4640480,4,-0.8850895563614781,1494.54,0.4
4700480,4,-1.1317683059988348,1471.48,0.38
4740480,4,-1.2564125789989464,1490.12,0.4
4800480,4,-0.9467662730980062,1487.22,0.4
4860480,4,-1.970045049306675,1479.64,0.32
4920480,4,-2.401593139246556,1478.1,0.32
4980480,4,-0.41696306971194086,1492.44,0.44
5040480,4,-0.8619575978439196,1488.82,0.42
5100480,4,-1.4442801442789395,1491.64,0.36
5160480,4,-1.1895767306051492,1493.36,0.38
5200480,4,-2.046211628806172,1482.28,0.34
5260480,4,-0.39690410715508023,1489.68,0.42
5320480,4,-1.0481198407667929,1482.48,0.4
5380480,4,-1.3644553533233148,1487.1,0.38
5440480,4,-1.891712851943517,1485.54,0.34
5500480,4,-0.9846035205882825,1467.08,0.38
5560480,4,-2.3528963059006074,1482.44,0.32
5600480,4,0.5294878925103369,1497.6,0.5
5660480,4,0.16690885638869624,1493.16,0.46
5720480,4,0.19628024100981464,1498.14,0.48
5780480,4,-1.2686777639757931,1496.04,0.38
5840480,4,-1.0870330353933075,1480.42,0.4
5900480,4,-1.7342269696466315,1489.4,0.36
5960480,4,-0.7059918015335701,1489.4,0.42
6020480,4,-1.6395752616877797,1477.88,0.34
6060480,4,-1.6587704963259322,1483.2,0.38
6120480,4,-1.3670540407779532,1481.1,0.38
6180480,4,-0.9656320695769358,1487.74,0.42
6240480,4,-1.1786154975856429,1485.06,0.38
6300480,4,-0.48666732144612795,1499.48,0.42
6360480,4,0.021198928459617933,1495.74,0.44
6420480,4,-0.30570466872844454,1494.82,0.42
6460480,4,-0.2336038332692823,1491.88,0.46
6520480,4,-3.6310204067291907,1470.54,0.24
6580480,4,-1.5265919311551115,1476.08,0.38
6640480,4,-0.18101194944072965,1497.84,0.44
6700480,4,0.876192652044192,1512.48,0.5
6760480,4,0.27533258812352485,1504.64,0.48
6820480,4,-0.3308509454233268,1488.36,0.46
6880480,4,-0.8413337277266649,1484.96,0.4
6920480,4,-0.9080012804146643,1483.8,0.4
6980480,4,-0.5003963503283886,1495.46,0.44
7040480,4,-2.3043289414148442,1485.42,0.3
7100480,4,-1.890268116563199,1489.28,0.36
7160480,4,-1.8273996334198477,1469.16,0.34
7220480,4,-1.2041596499104807,1486.78,0.36
7280480,4,-1.6915111810979446,1480.2,0.34
7320480,4,-3.0354911374505518,1475.8,0.28
7380480,4,-1.6955628308822606,1472.0,0.36
7440480,4,-1.2908119076494318,1485.88,0.38
7500480,4,-2.4477778242275994,1472.36,0.32
7560480,4,-1.0570914626761818,1482.78,0.4
