iteration,level,test_reward,test_episode_length,test_successful
40000,Level 9,-4.840777913329148,365,False
40000,Level 9,-7.257182919542138,364,False
40000,Level 9,-4.166340904205043,364,False
40000,Level 9,-8.05886498303897,363,False
40000,Level 9,-4.3278783461191,364,False
40000,Level 9,-7.372293945954716,362,False
40000,Level 9,-7.456989058783727,363,False
40000,Level 9,-3.8099598291364196,363,False
40000,Level 9,-7.177382989116037,364,False
40000,Level 9,-7.716260291659623,363,False
40000,Level 9,-4.0909657982907355,363,False
40000,Level 9,-3.956462634155733,363,False
40000,Level 9,-8.238498049098016,369,False
40000,Level 9,-7.822048210884985,363,False
40000,Level 9,-4.239629092631229,363,False
40000,Level 9,-4.085521030291666,364,False
40000,Level 9,-8.22711661870186,370,False
40000,Level 9,-7.489971311649555,363,False
40000,Level 9,-4.505831600699252,363,False
40000,Level 9,-7.3372493729395245,371,False
40000,Level 9,-7.105593576699267,364,False
40000,Level 9,-7.637420570857127,363,False
40000,Level 9,-7.298252586897328,381,False
40000,Level 9,-7.372573244422687,363,False
40000,Level 9,-7.884250412486017,362,False
40000,Level 9,-7.264864141928982,363,False
40000,Level 9,-7.587444547078923,362,False
40000,Level 9,-7.361955345145274,364,False
40000,Level 9,-7.339011127554559,363,False
40000,Level 9,-7.777987318073789,362,False
40000,Level 9,-4.120292695824798,363,False
40000,Level 9,-7.244112875742476,364,False
40000,Level 9,-7.457236087982612,362,False
40000,Level 9,-7.3124929816988695,367,False
40000,Level 9,-6.940741905129766,367,False
40000,Level 9,-7.263600632064791,367,False
40000,Level 9,-7.444977572380841,370,False
40000,Level 9,-7.206551352150482,367,False
40000,Level 9,-3.9317224931982873,363,False
40000,Level 9,-7.726237172383459,363,False
40000,Level 9,-7.744378138534432,362,False
40000,Level 9,-3.4941807805795047,364,False
40000,Level 9,-7.834926058884025,363,False
40000,Level 9,-7.580749585567832,371,False
40000,Level 9,-7.834711929945084,362,False
40000,Level 9,-4.375489391093596,363,False
40000,Level 9,-5.515613995891112,363,False
40000,Level 9,-7.660729586995517,362,False
40000,Level 9,-7.409948781987076,370,False
40000,Level 9,-4.1642209059475395,364,False
100000,Level 9,-2.4149877399305524,365,False
100000,Level 9,-7.6773913238130564,370,False
100000,Level 9,-7.206672520215101,365,False
100000,Level 9,-7.358733077941297,365,False
100000,Level 9,-7.35526059849713,371,False
100000,Level 9,-8.051882695825348,363,False
100000,Level 9,-7.1778783053946675,365,False
100000,Level 9,-4.08717512004433,363,False
100000,Level 9,-8.141940351183733,370,False
100000,Level 9,-7.515505966009022,363,False
100000,Level 9,-7.50813689914426,363,False
100000,Level 9,-7.245102241639678,364,False
100000,Level 9,-4.526926579792999,362,False
100000,Level 9,-7.461074120525466,371,False
100000,Level 9,-7.63176338379068,370,False
100000,Level 9,-3.872629517279328,363,False
100000,Level 9,-7.658169903471483,363,False
100000,Level 9,-7.578716473066595,363,False
100000,Level 9,-7.36190279778809,366,False
100000,Level 9,-7.087204217171555,366,False
100000,Level 9,-7.474186638381711,362,False
100000,Level 9,-7.656057675618603,363,False
100000,Level 9,-7.1054322811409225,366,False
100000,Level 9,-7.979837581193262,363,False
100000,Level 9,-7.465688136912466,371,False
100000,Level 9,-3.9413967603255093,363,False
100000,Level 9,-7.589626624834638,362,False
100000,Level 9,-4.05085347952684,363,False
100000,Level 9,-7.52533414361938,365,False
100000,Level 9,-7.192320388454535,364,False
100000,Level 9,-4.003764799034187,364,False
100000,Level 9,-3.8562450389965415,363,False
100000,Level 9,-4.36529648517705,364,False
100000,Level 9,-7.476564036262547,363,False
100000,Level 9,-7.463087312048748,366,False
100000,Level 9,-8.019536543599578,362,False
100000,Level 9,-8.611910030871286,370,False
100000,Level 9,-7.462241660944612,365,False
100000,Level 9,-7.065093743762534,366,False
100000,Level 9,-7.585059179755838,363,False
100000,Level 9,-7.642036836485724,362,False
100000,Level 9,-8.170811300843955,370,False
100000,Level 9,-7.914562406815687,362,False
100000,Level 9,-7.3693286382944025,363,False
100000,Level 9,-7.786868193744211,362,False
100000,Level 9,-8.073404870445454,362,False
100000,Level 9,-4.03395604076816,363,False
100000,Level 9,-7.0076256272955355,366,False
100000,Level 9,-4.600945193722664,363,False
100000,Level 9,-7.399893983857299,362,False
160000,Level 9,-7.707308424058571,362,False
160000,Level 9,-7.797017718991545,370,False
160000,Level 9,-7.178255900558435,365,False
160000,Level 9,-7.610813721020699,362,False
160000,Level 9,-3.9350554458935347,363,False
160000,Level 9,-7.524516238295857,364,False
160000,Level 9,-7.798802465982757,362,False
160000,Level 9,-7.539178022595405,362,False
160000,Level 9,-7.611474258077877,362,False
160000,Level 9,-7.336564622373639,362,False
160000,Level 9,-3.9465395216461445,363,False
160000,Level 9,-7.490293018524243,362,False
160000,Level 9,-7.24263009948241,366,False
160000,Level 9,-7.45236534682471,362,False
160000,Level 9,-7.965669693236518,361,False
160000,Level 9,-3.947613708865377,364,False
160000,Level 9,-8.334952158203247,369,False
160000,Level 9,-7.271623060822543,365,False
160000,Level 9,-4.380748538361318,364,False
160000,Level 9,-7.427287278649076,362,False
160000,Level 9,-5.356856394185461,366,False
160000,Level 9,-8.049239018972003,362,False
160000,Level 9,-7.552582407496476,362,False
160000,Level 9,-4.100784120303893,363,False
160000,Level 9,-7.585829713360804,364,False
160000,Level 9,-7.215538348625407,365,False
160000,Level 9,-6.8697000430453805,368,False
