iteration,level,test_mean_reward,test_mean_episode_length,test_success_rate
40000,0,-2.8520117799827824,231.56,0.0
100000,0,-2.828652897190194,233.4,0.0
160000,0,-2.7151709240456667,231.98,0.0
220000,0,-2.923980840508502,232.26,0.0
280000,0,-1.7925390355636086,230.98,0.0
340000,0,-1.2406089857161384,234.2,0.0
400000,0,-1.614736667665245,231.52,0.0
440000,0,-0.9528351351832898,227.14,0.0
500000,0,-0.7260672842903785,232.1,0.0
560000,0,-1.04633068175456,237.54,0.0
620000,0,-0.7499580148558985,227.04,0.0
680000,0,-0.8054210831578594,227.42,0.0
740000,0,-0.6484498024505473,233.44,0.0
800000,0,-0.9016087737178435,241.4,0.0
860000,0,-0.7081071800227692,227.12,0.0
900000,0,-0.6789012280203327,226.72,0.0
960000,0,-0.4213254855900135,243.56,0.04
1020000,0,-0.4325174596722452,230.68,0.02
1080000,0,-0.7465543941785054,226.94,0.0
1140000,0,-0.32770951829892175,234.88,0.04
1200000,0,-0.6968251134672248,226.92,0.0
1260000,0,-0.5322337225748823,246.46,0.02
1300000,0,-0.5876528959847256,226.8,0.0
1360000,0,-0.6059124249256232,240.12,0.02
1420000,0,-1.0381670793709312,227.14,0.0
1480000,0,-0.9922234065205552,227.02,0.0
1540000,0,-1.087565084334662,227.22,0.0
1600000,0,-0.854850914174918,227.0,0.0
1660000,0,-1.1710694128723933,227.46,0.0
1720000,0,-1.0234009210135286,227.1,0.0
1760000,0,-0.8704343204370971,227.1,0.0
1820000,0,-0.3143325249729161,229.52,0.0
1880000,0,0.7856454504672742,243.46,0.1
1940000,0,0.3473700022338648,238.68,0.06
2000000,0,0.18684248673709952,236.1,0.04
2060000,0,0.21110396891706795,236.1,0.04
2120000,0,0.20749497868739472,234.46,0.04
2160000,0,-0.2378516652589111,230.74,0.0
2220000,0,-0.013987426409194507,232.4,0.02
2280000,0,0.19971725674168217,237.08,0.04
2340000,0,-0.23572831464612937,230.12,0.0
2400000,0,-0.17379942177566335,242.62,0.02
2460000,0,-0.24885498517907295,230.44,0.0
