iteration,level,test_mean_reward,test_mean_episode_length,test_success_rate
40000,0,-5.112104915276657,271.5,0.0
100000,0,-4.869279782930176,271.2,0.0
160000,0,-3.560492095286819,298.74,0.0
220000,0,-3.691561103723936,301.68,0.0
280000,0,-1.1541003003865518,763.58,0.2
340000,0,-0.724670165023568,837.36,0.14
400000,0,-0.45082658708220985,841.16,0.16
440000,0,-1.0799910076549848,832.76,0.1
500000,0,-0.6579625568200602,837.46,0.14
560000,0,-0.818377115692859,821.74,0.12
620000,0,0.30201220682164015,849.76,0.22
680000,0,0.11054302596699522,754.86,0.14
740000,0,0.18544263764722102,759.66,0.16
800000,0,2.2409088431681905,945.7,0.38
860000,0,1.3005720717044467,887.92,0.28
900000,0,4.683501504483675,1005.88,0.6
960000,0,7.317798447836123,1098.52,0.86
1020000,0,8.134916213769078,1084.86,0.92
1080000,0,6.7755323616191205,1063.34,0.8
1140000,0,7.8827692120680455,1101.62,0.9
1200000,0,8.609002377702348,1097.32,0.96
1260000,0,8.377931763043923,1090.06,0.94
1300000,0,8.434104479488177,1093.04,0.94
1360000,0,8.339319893210737,1098.94,0.94
1420000,0,8.009316770691756,1117.32,0.92
1480000,0,8.614362966887517,1091.4,0.96
1540000,0,7.163092840905799,1085.56,0.84
1600000,0,8.616991545037266,1083.26,0.96
1660000,0,8.595214235663077,1099.0,0.96
1720000,0,8.146566277109592,1089.96,0.92
1760000,0,8.404651147990283,1073.08,0.94
1820000,0,8.801538827757199,1104.76,0.98
1880000,0,8.865067446070322,1097.22,0.98
1940000,0,8.81220246951684,1091.68,0.98
