iteration,level,test_mean_reward,test_mean_episode_length,test_success_rate
40000,0,-4.225241408166173,229.62,0.0
100000,0,-4.735556168301491,243.8,0.0
160000,0,-4.262384209915816,238.2,0.0
220000,0,-4.531618616669374,242.24,0.0
280000,0,-2.6201719121944467,582.12,0.0
340000,0,-0.22397481807097375,585.94,0.12
400000,0,0.18231391010270162,616.04,0.16
440000,0,-0.6717007015426875,547.6,0.08
500000,0,-0.5356098559932952,550.26,0.08
560000,0,-0.31173925890388815,582.92,0.12
620000,0,0.4043112103929804,501.0,0.14
680000,0,1.3805949498860224,493.66,0.2
740000,0,-0.200810012655331,476.54,0.08
800000,0,1.0435852764474094,501.32,0.22
860000,0,-0.2176697398864861,461.96,0.08
900000,0,1.116096134627519,475.2,0.18
960000,0,1.6262329892253893,713.4,0.52
1020000,0,1.07910121536006,744.7,0.5
1080000,0,0.2147669434519832,677.08,0.42
1140000,0,1.6164462454042,714.74,0.5
1200000,0,1.2457892670720387,715.38,0.48
1260000,0,2.2851223014649875,725.6,0.56
1300000,0,2.8082316644727734,664.12,0.56
1360000,0,5.703591212878045,623.6,0.7
1420000,0,6.6049950821951855,637.14,0.76
1480000,0,4.419966478554762,626.06,0.6
1540000,0,5.113492785089939,631.54,0.64
1600000,0,4.787166635585715,630.72,0.62
1660000,0,3.4411076454854452,623.48,0.56
1720000,0,6.1533741163630555,700.44,0.66
1760000,0,6.724057768448551,714.5,0.72
1820000,0,6.08145871284928,691.56,0.66
1880000,0,6.9441459450900584,719.0,0.74
1940000,0,6.523917796078871,707.16,0.7
2000000,0,6.286537223938572,696.62,0.68
2060000,0,6.262914514041353,715.02,0.68
2120000,0,6.10886069324231,693.02,0.66
2160000,0,6.531644967526128,700.08,0.7
2220000,0,7.189137468273376,723.36,0.76
2280000,0,6.471142258530625,711.3,0.7
2340000,0,5.847142374760047,692.54,0.64
2400000,0,6.088740279502913,705.84,0.66
2460000,0,6.46704545784243,712.76,0.7
2520000,0,4.768349984133752,674.72,0.54
2580000,0,6.286593733637859,694.3,0.68
2620000,0,6.532191669240492,703.76,0.7
2680000,0,7.139508713678257,733.3,0.76
2740000,0,6.728813188693724,714.96,0.72
2800000,0,7.163141700278072,715.06,0.76
2860000,0,7.392223739076547,723.5,0.78
2920000,0,7.4364388367855945,706.72,0.78
2980000,0,5.679125834688325,711.6,0.64
3020000,0,8.934882116296947,785.12,0.94
3080000,0,7.798591989703428,774.74,0.84
3140000,0,8.24645976163828,780.84,0.88
3200000,0,8.929225028974361,781.54,0.94
3260000,0,9.093328592690323,793.14,0.96
3320000,0,8.509004593981816,782.74,0.9
3380000,0,8.910915786854964,784.24,0.94
3440000,0,9.187753896420196,779.72,0.96
3480000,0,9.370123082482632,788.56,0.98
3540000,0,8.682436701798089,780.78,0.92
3600000,0,9.53942092188086,798.64,1.0
