iteration,level,test_reward,test_episode_length,test_successful
40000,0,-2.584071202546224,226,False
40000,0,-6.165728058443845,237,False
40000,0,-3.11844302760849,225,False
40000,0,-3.591963502337495,226,False
40000,0,-2.86740682930416,226,False
40000,0,-3.231704095275403,225,False
40000,0,-2.924080870635778,226,False
40000,0,-5.632013899412446,229,False
40000,0,-6.227482414255848,238,False
40000,0,-5.680603932660256,231,False
40000,0,-2.1392233869067008,225,False
40000,0,-6.007755796036751,234,False
40000,0,-2.068989735444818,226,False
40000,0,-1.429405891636398,227,False
40000,0,-5.75713140087956,229,False
40000,0,-5.984214814946916,237,False
40000,0,-3.397916695616022,226,False
40000,0,-3.3596286713036383,226,False
40000,0,-2.2269359976323475,225,False
40000,0,-5.9987822314420525,239,False
40000,0,-5.021667705779654,233,False
40000,0,-2.5777854349376685,226,False
40000,0,-5.747931565784247,229,False
40000,0,-2.05383140441079,225,False
40000,0,-5.448008426950096,231,False
40000,0,-3.1380321797399153,225,False
40000,0,-4.867784399477929,233,False
40000,0,-2.1062690245353095,225,False
40000,0,-5.682338985635995,232,False
40000,0,-1.5129199057859108,226,False
40000,0,-2.1319632147261087,225,False
40000,0,-6.05547224966047,234,False
40000,0,-6.217969427903389,238,False
40000,0,-6.560483786118175,234,False
40000,0,-5.617761581889231,231,False
40000,0,-2.176018688533318,225,False
40000,0,-2.6353720775594427,226,False
40000,0,-3.2068397096489614,225,False
40000,0,-6.292214732846883,235,False
40000,0,-6.023056579985106,239,False
40000,0,-6.046419905550955,234,False
40000,0,-5.777047143042395,229,False
40000,0,-3.4290060000185747,226,False
40000,0,-3.1689713317535193,226,False
40000,0,-3.1240791650734545,225,False
40000,0,-2.1935836081164135,225,False
40000,0,-6.616333001864137,235,False
40000,0,-5.913315434842072,237,False
40000,0,-6.119733299894147,238,False
40000,0,-3.406377981919258,226,False
100000,0,-6.387532620380165,272,False
100000,0,-5.792161663790708,234,False
100000,0,-4.933117687052597,234,False
100000,0,-6.592812645321254,276,False
100000,0,-2.0268931228495894,226,False
100000,0,-2.627755102587268,226,False
100000,0,-6.097656930490759,238,False
100000,0,-6.052504624708109,263,False
100000,0,-5.90227281358549,239,False
100000,0,-6.439261096598539,234,False
100000,0,-5.942376358530975,251,False
100000,0,-3.0962373121168953,225,False
100000,0,-5.685618901783621,276,False
100000,0,-4.757814290944054,234,False
100000,0,-5.967611511016125,257,False
100000,0,-6.2116338625248115,236,False
100000,0,-5.612577470496954,245,False
100000,0,-6.247594056847448,270,False
100000,0,-6.114338998730219,238,False
100000,0,-2.921428470784113,226,False
100000,0,-6.055886107025293,264,False
100000,0,-2.097568564178683,225,False
100000,0,-3.3765568939493766,238,False
100000,0,-6.074264610108008,237,False
100000,0,-5.5950242230003155,278,False
100000,0,-6.31084410924657,274,False
100000,0,-6.04988842605189,275,False
100000,0,-3.142369295130864,235,False
100000,0,-3.214900092882325,225,False
100000,0,-2.091822472912007,225,False
100000,0,-2.05164476137381,225,False
100000,0,-1.52357870621608,226,False
100000,0,-2.779527814323796,226,False
100000,0,-6.391237110214895,272,False
100000,0,-4.929354928326321,234,False
100000,0,-4.678196360684955,234,False
100000,0,-2.2800014858075794,225,False
100000,0,-6.304909728268907,234,False
100000,0,-6.380988025811049,234,False
100000,0,-6.0253459807005445,259,False
100000,0,-5.81583731074554,234,False
100000,0,-6.337694707026437,272,False
100000,0,-5.5397733282719015,234,False
100000,0,-6.2355905490256,272,False
100000,0,-2.301558591124019,229,False
100000,0,-3.2946127982541142,241,False
100000,0,-2.166310442934027,225,False
100000,0,-4.963769555569105,234,False
100000,0,-1.536486278317712,226,False
100000,0,-5.8230656164531345,278,False
160000,0,-6.051246431733667,276,False
160000,0,-6.3813812770975735,268,False
160000,0,-2.14046485590967,225,False
160000,0,-3.2061952183545155,225,False
160000,0,-3.308435697162833,226,False
160000,0,-2.14488735923932,225,False
